Date,TY,FV,US,ES,NQ,EM,
20120413,0,0,0,0,0,0,501414.0
20120416,0,0,0,0,0,0,501414.0
20120417,0,0,0,0,0,0,501414.0
20120418,0,0,0,0,0,0,501414.0
20120419,0,0,0,0,0,0,501414.0
20120420,0,0,0,0,0,0,501414.0
20120423,0,0,0,0,0,0,501414.0
20120424,0,0,0,0,0,0,501414.0
20120425,0,0,0,0,0,0,501414.0
20120426,0,0,0,0,0,0,501414.0
20120427,0,0,0,0,0,0,501414.0
20120430,0,0,0,0,0,0,501414.0
20120501,0,0,0,0,0,0,501414.0
20120502,0,0,0,0,0,0,501414.0
20120503,0,0,0,0,0,0,501414.0
20120504,0,0,0,0,0,0,501414.0
20120507,1,0,0,0,0,0,501157.0
20120508,1,0,0,0,0,0,501438.0
20120509,1,0,1,0,0,0,500965.0
20120510,1,0,1,0,0,0,500715.0
20120511,1,0,1,0,0,0,501794.0
20120514,1,0,1,0,0,0,503106.0
20120515,1,0,1,0,0,0,503372.0
20120516,1,0,1,0,0,0,503825.0
20120517,1,0,1,1,0,0,505937.0
20120518,1,0,1,1,0,0,506447.0
20120521,1,0,1,1,0,0,504603.0
20120522,1,0,1,1,0,0,503215.0
20120523,1,0,1,1,0,0,505150.0
20120524,1,0,1,1,0,0,503781.0
20120525,1,0,1,1,0,0,504594.0
20120529,1,0,1,1,0,0,503825.0
20120530,1,0,1,1,0,0,507762.0
20120531,1,0,1,1,0,0,508584.0
20120601,1,1,1,1,1,0,514090.0
20120604,1,1,1,1,1,0,512173.0
20120605,1,1,1,1,1,0,510397.0
20120606,0,1,0,1,1,0,505302.0
20120607,0,1,0,0,1,0,504922.0
20120608,0,1,1,0,1,0,503040.0
20120611,0,0,1,0,0,0,502881.0
20120612,0,0,1,0,0,0,501788.0
20120613,0,0,1,0,0,0,502819.0
20120614,0,0,1,0,0,0,502756.0
20120615,0,0,1,0,0,0,503225.0
20120618,0,0,1,0,0,0,503256.0
20120619,0,0,1,0,0,0,502569.0
20120620,0,0,1,0,0,0,502163.0
20120621,0,0,1,0,0,0,502788.0
20120622,0,0,1,0,0,0,501663.0
20120625,0,0,1,0,0,0,502850.0
20120626,0,0,1,0,0,0,502475.0
20120627,0,0,1,0,0,0,502631.0
20120628,0,0,1,0,0,0,503413.0
20120629,0,0,1,0,0,0,501538.0
20120702,0,0,1,0,0,0,503163.0
20120703,0,0,1,0,0,0,502100.0
20120705,0,0,1,0,0,0,502475.0
20120706,0,0,1,0,0,0,503444.0
20120709,0,0,1,0,0,0,504163.0
20120710,0,0,1,0,0,0,504569.0
20120711,0,0,1,0,0,0,504725.0
20120712,0,0,1,0,0,0,505194.0
20120713,0,0,1,0,0,0,504756.0
20120716,0,0,1,0,0,0,505350.0
20120717,0,0,1,0,0,0,504506.0
20120718,0,0,1,0,0,0,504850.0
20120719,0,0,1,0,0,0,504163.0
20120720,0,0,1,0,0,0,505350.0
20120723,0,1,1,0,0,0,505679.0
20120724,0,1,1,0,0,0,506437.0
20120725,0,1,1,0,0,0,506382.0
20120726,0,1,1,0,0,0,505999.0
20120727,0,0,0,0,0,0,504580.0
20120730,0,0,0,0,0,0,504580.0
20120731,0,0,0,0,0,0,504580.0
20120801,0,0,0,0,0,0,504580.0
20120802,0,0,0,0,0,0,504580.0
20120803,0,0,0,0,0,0,504580.0
20120806,0,0,0,0,0,0,504580.0
20120807,0,0,0,0,0,0,504580.0
20120808,0,0,0,0,0,0,504580.0
20120809,0,0,0,0,0,0,504580.0
